ward_name,ward_no,area_sqkm,log_area,perimeter_km,compactness,solidity,dist_center_km,local_ward_density_km,num_neighbors,perimeter_area_ratio,facility_count,predicted_facilities,residual,desert_score
Chickpete,138,0.7128684558451902,0.5381694247092818,4.141008807876518,0.5224045529379533,0.8435300416735032,1.8834983510011751,1.2619177543756783,5,5.8089382044080775,7,13.741618613349111,-6.741618613349111,6.741618613349111
Cottonpete,137,0.7569627770594923,0.5635866234708641,5.829347308880898,0.27992682986701345,0.6854459925630765,3.077677422853495,0.9661691557675299,8,7.700969566199356,3,8.984617593351194,-5.984617593351194,5.984617593351194
Binnipete,136,0.7742636204124473,0.5733854751089733,6.315956466433023,0.2439048645429778,0.586622407214411,3.849887138287049,0.8803977786227881,6,8.157372114511253,1,6.1827906694967405,-5.1827906694967405,5.1827906694967405
Kengeri,33,2.566680728708958,1.2716353954206585,11.228876371095867,0.2558050495972071,0.6326738613006119,12.897450133012885,2.9354709280192415,2,4.374862929190262,7,9.30671106460871,-2.3067110646087094,2.3067110646087094
Basavanagudi,210,1.1137072043755343,0.7484433747219844,5.264779134243832,0.5049176821896103,0.8484343338899717,4.7144682659348875,1.2282332432546625,6,4.7272560629576255,14,13.23686402025592,0.7631359797440798,0.0
Srinivasa Nagar,212,0.718088153130321,0.5412121337301453,5.863505044165393,0.26246598011235034,0.6220601149654857,5.210743199271056,1.0088560157106659,5,8.165439046174132,8,4.881431515006684,3.1185684849933164,0.0
Srinagar,213,0.8408766828593496,0.6102419162265198,6.379519070754314,0.2596368274666016,0.6239092680582975,5.574207209122533,0.9439636172900666,5,7.586747499123356,24,5.518446707942592,18.48155329205741,0.0
Girinagar,214,1.4140889593347203,0.8813219734191764,6.6106758934772385,0.406625738546938,0.7514810937444689,6.485056188473817,1.106592469559335,6,4.674865643946002,12,11.236826893055568,0.7631731069444321,0.0
Bande Mutt,34,6.399214534116075,2.0013738505380787,23.863131010732385,0.14121527726144134,0.5290549171919143,13.719364006754292,3.6089022898859513,4,3.7290718858558485,5,10.388049161093242,-5.388049161093242,5.388049161093242
Kudlu,243,3.3321318359573704,1.466059761722153,8.920751286189315,0.5261737493641614,0.8583299482056732,11.514021735150683,2.2254658793758813,3,2.6771903770206777,8,13.177423470832153,-5.177423470832153,5.177423470832153
Hudi,106,9.004228259030954,2.3030078295314587,15.889318679989161,0.44817312380284663,0.8410960047348929,14.112875593359089,3.0014799116280058,3,1.7646508088078154,14,15.677037594196902,-1.6770375941969018,1.6770375941969018
Bellanduru,115,9.501696146146385,2.351536781845891,19.34015804917673,0.31922064029341696,0.7417014182265802,9.231496286236313,2.766952261591825,7,2.035442699040691,12,20.192239659796655,-8.192239659796655,8.192239659796655
Marathahalli,114,4.25243593622487,1.65869195684681,13.558679238372205,0.29067847319940276,0.6227716067546232,11.550986739008835,2.6222157498974763,6,3.1884499711967482,22,13.322467211015157,8.677532788984843,0.0
Garudachar Playa,107,2.3171802992834483,1.1991151146177463,10.470476254620143,0.26560535025082627,0.6108349876104143,11.701996911084285,2.081522658612344,5,4.518628204226479,10,8.240167283620316,1.7598327163796839,0.0
New Thippasandra,122,2.628262760168998,1.2887539552556941,9.532369995142663,0.3634769403870851,0.758813089280347,7.133707094848458,1.724920929001491,7,3.6268710037689416,13,15.486320172855795,-2.4863201728557947,2.4863201728557947
Jalakanteshwara Nagara,123,1.4630499719931451,0.9014004080081569,5.280926626850315,0.6592479034034624,0.9354575181488183,8.710154952049734,1.5653727391320484,4,3.609532639309642,22,11.173069951019494,10.826930048980506,0.0
Nagapura,51,1.7173879529104148,0.9996711074834782,6.076580860195559,0.5844666207402663,0.8763547419414407,6.169666567551089,1.206546578122132,8,3.5382691778510083,46,14.312235044154459,31.68776495584554,0.0
Jai Maruthinagara,54,0.5869923144550718,0.46184059871910627,4.453274508535564,0.3719489573396409,0.7649917096249224,7.808413515592785,0.9155753463323878,5,7.586597641690957,0,2.8334485009941535,-2.8334485009941535,2.8334485009941535
Puneet Rajkumar,55,0.6600247543488066,0.5068325145155824,4.978520353015826,0.33463357587771847,0.641455300734731,7.419773559876694,0.8689690465610406,7,7.542929746517966,1,3.04749340586741,-2.04749340586741,2.04749340586741
Sampangiram Nagar,129,3.5457458459487428,1.514191816685072,13.82317551969893,0.23318565047808412,0.5559037832436925,0.5057839035651831,1.8593623823311702,8,3.898524068072407,28,22.41066456489256,5.58933543510744,0.0
Old Thippasandra,121,2.0628452765693215,1.1193443128853637,8.914891553963166,0.3261702826455817,0.7227408240616959,5.6906387645755006,1.5415112092239294,7,4.321648189140657,36,14.918307912658827,21.081692087341175,0.0
Jeevanbhima Nagar,124,2.473435027150036,1.245144025678612,9.399506946996672,0.35180355548680126,0.706797502478996,6.1894118334298955,1.690944639129326,6,3.800183487264292,18,15.626575826713761,2.3734241732862387,0.0
Veeramadakari,40,5.53355877879525,1.876951783931467,12.901491493886116,0.41776740331180195,0.7759759132958135,10.098490733150822,1.907591910639706,8,2.3314998556308804,3,16.09416898008595,-13.09416898008595,13.09416898008595
HAL Airport,93,7.287644952323156,2.1147658458354233,18.955910395340233,0.2548635779950626,0.6671315712300098,8.61874680981359,1.9922819716961229,7,2.601102347788975,6,16.827981080310195,-10.827981080310195,10.827981080310195
